,keyword,count,lable,lable2,lable3,lable4
1,회원,989,7,3,3,6
2,아이디,966,7,3,3,6
3,가입,963,7,3,3,6
4,로그인,890,7,4,3,2
5,입력,799,7,4,3,2
6,비밀번호,791,7,4,3,2
7,확인,779,7,4,3,2
8,추천,728,1,4,3,2
9,코드,717,1,4,3,2
10,scale,673,1,4,3,2
11,text,670,1,4,3,2
12,width,665,1,4,3,2
13,html,661,1,4,3,2
14,charset,655,1,4,3,2
15,initial,643,1,4,3,2
16,device,605,1,4,3,2
17,게임,582,1,4,3,2
18,계좌,547,1,4,3,2
19,번호,527,1,4,3,2
20,이용,495,4,1,7,5
21,카지노,486,4,1,7,5
22,취소,480,4,1,7,5
23,IE,478,4,1,7,5
24,고객,475,4,1,7,5
25,이벤트,470,4,1,7,5
26,no,468,4,1,7,5
27,문의,466,4,1,7,5
28,선택,433,4,1,7,5
29,사항,432,4,1,7,5
30,카카오,430,4,1,7,5
31,시,423,4,1,7,5
32,센터,421,4,1,7,5
33,은행,420,4,1,7,5
34,공지,417,4,1,7,5
35,인증,416,4,1,7,5
36,숫자,411,4,1,7,5
37,ID,401,4,1,7,5
38,라이브,389,4,1,7,5
39,실시간,386,4,1,7,5
40,부산,372,4,1,7,5
41,입금,371,4,1,7,5
42,대구,368,4,1,7,5
43,전북,368,4,1,7,5
44,edge,367,4,1,7,5
45,뱅크,367,4,1,7,5
46,경남,366,4,1,7,5
47,광주,366,4,1,7,5
48,제주,366,4,1,7,5
49,농협,365,4,1,7,5
50,우체국,364,4,1,7,5
51,신청,362,4,1,7,5
52,utf,358,4,1,7,5
53,스포츠,358,4,1,7,5
54,및,355,4,1,7,5
55,안내,355,4,1,7,5
56,수협,354,4,1,7,5
57,슬롯,344,4,1,7,5
58,환전,340,4,1,7,5
59,씨티,340,4,1,7,5
60,금주,339,4,1,7,5
61,출금,333,4,1,7,5
62,산업,329,4,1,7,5
63,입니다,326,4,1,7,5
64,케이,322,4,1,7,5
65,수,319,4,1,7,5
66,규정,316,4,1,7,5
67,한국,313,4,1,7,5
68,닉네임,313,4,1,7,5
69,자,306,6,1,7,5
70,사용,304,6,1,7,5
71,이상,301,6,1,7,5
72,베팅,297,6,1,7,5
73,머니,294,6,1,7,5
74,배팅,290,6,1,7,5
75,영문,289,6,1,7,5
76,상호,284,6,1,7,5
77,있습니다,281,6,1,7,5
78,user,280,6,1,7,5
79,scalable,279,6,1,7,5
80,신협,274,6,1,7,5
81,이름,272,6,1,1,5
82,정보,272,6,1,1,5
83,maximum,271,6,1,1,5
84,충전,270,6,1,1,5
85,SC,269,6,1,1,5
86,증권,269,6,1,1,5
87,후,267,6,1,1,5
88,새마을금고,264,6,1,1,5
89,사이트,260,6,1,1,5
90,E,258,6,1,1,5
91,한글,256,6,1,1,5
92,투자,256,6,1,1,5
93,하나,253,6,1,1,5
94,to,250,6,1,1,5
95,변경,250,6,1,1,5
96,CASINO,247,6,1,1,5
97,국민은행,246,6,1,1,5
98,C,245,6,1,1,5
99,신한은행,244,6,1,1,5
100,기업은행,242,6,1,1,5
101,보안,242,6,1,1,5
102,A,241,6,1,1,5
103,우리은행,241,6,1,1,5
104,우리,239,6,1,1,5
105,All,238,6,1,1,5
106,패스워드,238,6,1,1,5
107,경기,238,6,1,1,5
108,가능합니다,237,6,1,1,5
109,삼성,237,6,1,1,5
110,하나은행,236,6,1,1,5
111,Casino,235,6,1,1,5
112,에볼루션,231,6,1,1,5
113,최대,231,6,1,1,5
114,X,231,6,1,1,5
115,보너스,230,6,1,1,5
116,가능,230,6,1,1,5
117,Copyright,229,6,1,1,5
118,역,227,6,1,1,5
119,산림조합,227,6,1,1,5
120,미래에셋,225,6,1,1,5
121,경우,222,6,1,1,5
122,이동,222,6,1,1,5
123,메,222,6,1,1,5
124,금액,220,6,1,1,5
125,금융투자,219,6,1,1,5
126,kr,217,6,1,1,5
127,더,214,6,1,1,5
128,마이크로,206,6,1,1,5
129,보기,206,6,1,1,5
130,LIVE,206,6,1,1,5
131,원,204,6,1,1,5
132,한화,203,6,1,1,5
133,대우,203,6,1,1,5
134,HSBC,203,6,1,1,5
135,상담,203,6,1,1,5
136,본인,202,6,1,1,5
137,조합,201,6,1,1,5
138,가상,200,6,1,1,5
139,결과,199,6,1,1,5
140,a,199,6,1,1,5
141,대신,198,6,1,1,5
142,2021-08,198,6,1,1,5
143,euc,198,6,1,1,5
144,바카라,197,6,1,1,5
145,KB,197,6,1,1,5
146,Gaming,195,6,1,1,5
147,쿠폰,195,6,1,1,5
148,도이치,194,6,1,1,5
149,문자,194,6,1,1,5
150,widget,194,6,1,1,5
151,로,193,6,1,1,5
152,LOGIN,193,6,1,1,5
153,없이,193,6,1,1,5
154,chat,193,6,1,1,5
155,포인트,193,6,1,1,5
156,휴대폰,192,6,1,1,5
157,클릭,191,6,1,1,5
158,저축은행,190,6,1,1,5
159,GAME,188,6,1,1,5
160,K,188,6,1,1,5
161,위,188,6,1,1,5
162,중복,187,6,1,1,5
163,전화번호,187,6,1,1,5
164,내용,186,6,1,1,5
165,미니게임,184,6,1,1,5
166,게이,182,2,1,1,5
167,밍,182,2,1,1,5
168,파워,182,2,1,1,5
169,하이,180,2,1,1,1
170,LiveChat,180,2,1,1,1
171,롤링,180,2,1,1,1
172,with,178,2,5,1,1
173,배당,177,2,5,1,1
174,휴대폰번호,176,2,5,1,1
175,유안,175,2,5,1,1
176,BET,175,2,5,1,1
177,볼,174,2,5,1,1
178,최소,174,2,5,1,1
179,오늘,173,2,5,1,1
180,chrome,172,2,5,1,1
181,N,172,2,5,1,1
182,채팅,172,2,5,1,1
183,있는,169,2,5,1,1
184,처리,169,2,5,1,1
185,유진,168,2,5,1,1
186,그램,167,2,5,1,1
187,텔레,166,2,5,1,1
188,Microgaming,166,2,5,1,1
189,PLAY,165,2,5,1,1
190,리츠,165,2,5,1,1
191,24시간,163,2,5,1,1
192,지급,162,2,5,1,1
193,충,162,2,5,1,1
194,신규,160,2,5,1,1
195,이,160,2,5,1,1
196,출석,160,2,5,1,1
197,BOA,160,2,5,1,1
198,플레이,160,2,5,1,1
199,중앙회,159,2,5,6,1
200,필수,159,2,5,6,1
201,환영,159,2,5,6,1
202,한미,158,2,5,6,1
203,축구,158,2,5,6,1
204,창,158,2,5,6,1
205,자주,158,2,5,6,1
206,연락처,158,2,5,6,1
207,아시아,157,2,5,6,1
208,W,156,2,5,6,1
209,제공,156,2,5,6,1
210,시간,156,2,5,6,1
211,불가,156,2,5,6,1
212,룰렛,155,2,5,6,1
213,minimum,155,2,5,6,1
214,시작,155,2,5,6,1
215,부국,154,2,5,6,1
216,NH,154,2,5,6,1
217,최고,154,2,5,6,1
218,Reserved,153,2,5,6,1
219,하루,153,2,5,6,1
220,페이,153,2,5,6,1
221,B,153,2,5,6,1
222,GAMING,152,2,5,6,1
223,투,152,2,5,6,1
224,SPORTS,152,2,5,6,1
225,지금,151,2,5,6,1
226,M,151,2,5,6,1
227,재,151,2,5,6,1
228,페이지,150,2,5,6,1
229,자리,149,2,5,6,1
230,방법,149,2,5,6,1
231,현황,149,2,5,6,1
232,제휴,148,2,5,6,1
233,모든,147,2,5,6,1
234,O,146,2,5,6,1
235,패,145,2,5,6,1
236,입출금,145,2,5,6,1
237,요청,145,2,5,6,1
238,인기,144,2,5,6,1
239,질문,144,2,5,6,1
240,동부,144,2,5,6,1
241,전,143,2,5,6,1
242,서비스,143,2,5,6,1
243,알림,143,2,5,6,1
244,흥,142,2,5,6,1
245,Evolution,142,2,5,6,1
246,전체,142,2,5,6,1
247,다,141,2,5,6,1
248,현대,141,2,5,6,1
249,PASSWORD,141,2,5,6,1
250,지인,140,2,5,6,1
251,noindex,139,2,5,6,1
252,Password,139,2,5,6,1
253,us,138,2,5,6,1
254,사다리,138,2,5,6,1
255,파트너,138,2,5,6,1
256,자동,138,2,5,6,1
257,and,137,2,5,6,1
258,H,137,2,5,6,1
259,c,135,2,5,6,1
260,매일,134,2,5,6,1
261,핸드폰,133,2,5,6,1
262,TOP,132,2,5,6,1
263,위해,131,2,5,6,1
264,1:1,131,2,5,6,1
265,당첨,131,2,5,6,1
266,Live,131,2,5,6,1
267,ALL,130,2,5,6,1
268,외환은행,128,2,5,6,1
269,바,128,2,5,6,1
270,제일,128,2,5,6,1
271,동양,128,2,5,6,1
272,cache,128,2,5,6,1
273,게시판,127,2,5,6,1
274,등록,127,2,5,6,1
275,SK,126,2,5,6,1
276,모바일,126,2,5,6,1
277,등,125,2,5,6,1
278,만,125,2,5,6,1
279,국민,125,2,5,6,1
280,기업,125,2,5,6,1
281,신한,125,2,5,6,1
282,Chat,124,2,5,6,1
283,운영,124,2,5,6,1
284,KEB,123,2,5,6,1
285,특수문자,123,2,5,6,1
286,AG,123,2,5,6,1
287,S,122,2,5,6,1
288,비,121,2,5,6,1
289,포커,121,2,5,6,1
290,GAMES,121,2,5,6,1
291,"100,000",121,2,5,6,1
292,홍콩,119,2,5,6,1
293,포함,119,2,5,6,1
294,방지,118,2,5,6,1
295,JOIN,118,2,5,6,1
296,베스트,118,2,5,6,1
297,외환,117,2,5,6,1
298,찾기,117,2,5,6,1
299,진행,117,2,5,6,1
300,점검,117,2,5,6,1
301,국내,116,2,5,6,1
302,FAQ,116,2,5,6,1
303,TALK,116,2,5,6,1
304,바로가기,115,2,5,6,1
305,또는,115,2,5,6,1
306,벳,115,2,5,6,1
307,총,115,2,5,6,1
308,소개,114,2,5,6,1
309,10%,114,2,5,6,1
310,별,114,2,5,6,1
311,of,113,2,5,6,1
312,x,113,2,5,6,1
313,안전,113,2,5,6,1
314,완료,112,2,5,6,1
315,모간,112,2,5,6,1
316,EVENT,112,2,5,6,1
317,교보,111,2,5,6,1
318,전송,111,2,5,6,1
319,크롬,110,2,5,6,1
320,Rights,110,2,5,6,1
321,G,110,2,5,6,1
322,잭팟,110,2,5,6,1
323,마이,109,2,5,6,1
324,전환,109,2,5,6,1
325,서울,108,2,5,6,1
326,다운로드,108,2,5,6,1
327,파리,108,2,5,6,1
328,를,107,2,5,6,1
329,1회,107,2,5,6,1
330,the,107,2,5,6,1
331,주소,107,2,5,6,1
332,Next,106,2,5,6,1
333,금,106,2,5,6,1
334,관련,105,2,5,6,1
335,"500,000",105,2,5,6,1
336,약관,105,2,5,6,1
337,긴급,105,2,5,6,1
338,승무,104,2,5,6,1
339,접속,103,2,5,6,1
340,톡,103,2,5,6,1
341,빠른,103,2,5,6,1
342,신규가입,103,2,5,6,1
343,추가,103,2,5,6,1
344,없습니다,103,2,5,6,1
345,농구,102,2,5,6,1
346,사,102,2,5,6,1
347,nofollow,102,2,5,6,1
348,D,101,2,5,6,1
349,reserved,101,2,5,6,1
350,오리,101,2,5,6,1
351,SLOT,100,2,5,6,1
352,s,100,2,5,6,1
353,Game,100,2,5,6,1
354,PRAGMATIC,100,2,5,6,1
355,HABANERO,100,2,5,6,1
356,다시,99,5,5,6,1
357,오브,99,5,5,6,1
358,다양한,99,5,5,6,1
359,Edge,99,5,5,6,1
360,탈,98,5,5,6,1
361,수정,98,5,5,6,1
362,골드,98,5,5,6,1
363,이메일,97,5,5,6,1
364,PC,97,5,5,6,1
365,주의,97,5,5,6,1
366,F,96,5,5,6,1
367,UTF,96,5,5,6,1
368,체크,96,5,5,6,1
369,Welcome,96,5,5,6,1
370,스핀,96,5,5,6,1
371,저축,96,5,5,6,1
372,혜택,96,5,5,6,1
373,오류,95,5,5,6,1
374,전시,95,5,5,6,1
375,방식,95,5,5,6,1
376,보유,95,5,5,6,1
377,금융,94,5,5,6,1
378,070-7678,94,5,5,6,1
